,FORMULATING_UNIT,INVESTMENT_EXECUTING_UNIT,UBIGEO,PROVINCE,FUNCTION,TYPE_OF_INVESTMENT,INVESTMENT_NAME,UPDATED_COST,ACCUMULATED_EARNINGS_AS_OF_2021,PIM_2022,AMOUNT_YEAR_2022,AMOUNT_YEAR_2023,AMOUNT_YEAR_2024,AMOUNT_YEAR_2025
300,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA CARRETERA VECINAL LM 522,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
301,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,150300,CAJATAMBO,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA CARRETERA DEPARTAMENTAL LM-104,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
302,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE TRANSITABILIDAD VIAL DE LA CARRETERA DEPARTAMENTAL LM 124,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
303,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150900,OYON,AGROPECUARIA,PROYECTO DE INVERSION,CREACIÓN DEL SERVICIO DE AGUA PARA RIEGO  EN LAS ZONAS DE PAMPA  ALACOCHA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
304,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150600,HUARAL,AGROPECUARIA,PROYECTO DE INVERSION,CREACION DEL SERVICIO DE AGUA A NIVEL PARCELARIO CON UN SISTEMA DE RIEGO TECNIFICADO EN LA COMUNIDAD CAMPESINA DE SANTA CRUZ DE ANDAMARCA DEL DISTRITO DE SANTA CRUZ DE ANDAMARCA - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,5300277.0,0.0,0.0,0.0,250000.0,5050277.0,0.0
305,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150700,HUAROCHIRI,AGROPECUARIA,PROYECTO DE INVERSION,CREACION DE LA PRESA ATTOC CORRAL PARA MEJORAMIENTO DEL RIEGO EN LA COMUNIDAD CAMPESINA SAN PEDRO DE CASTA DEL DISTRITO DE SAN PEDRO DE CASTA - PROVINCIA DE HUAROCHIRI - DEPARTAMENTO DE LIMA,8893512.0,0.0,0.0,0.0,360000.0,4500000.0,4033513.0
306,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,AGROPECUARIA,PROYECTO DE INVERSION,CREACION DEL SERVICIO DE PROVISION DE AGUA PARA RIEGO A TRAVES DE REPRESA EN LA QUEBRADA PAJLA EN EL  DISTRITO DE AYAUCA - PROVINCIA DE YAUYOS - DEPARTAMENTO DE LIMA,16930310.0,0.0,0.0,0.0,5625338.0,5000000.0,5000000.0
314,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,ORDEN PUBLICO Y SEGURIDAD,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS DE LA COMPAÑÍA DE BOMBEROS SAN JERONIMO DE SAYAN N° 216,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
315,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,ENERGIA,PROYECTO DE INVERSION,AMPLIACION DEL SERVICIO DE ENERGIA ELECTRICA RURAL EN LA LOCALIDAD DE SAN VALENTIN DEL  DISTRITO DE AUCALLAMA - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,593231.0,0.0,0.0,0.0,0.0,100000.0,493231.0
316,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,AMBIENTE,PROYECTO DE INVERSION,RECUPERACION DE LOS SERVICIOS DE ECOSISTEMAS DEGRADADOS DEL AREA DE CONSERVACION REGIONAL ALBUFERAS DE MEDIO MUNDO EN EL CENTRO POBLADO DE MEDIO MUNDO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
